,Timestamp,Email address,Google_Score,Name,IITP webmail,Phone (10 digit only),roll,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,Score_after_negative,StatusAns
0,07-07-2021 14:10,dsdeeptishakya777@gmail.com,84.0 / 84.0,Deepti Shakya,deepti_1921cs14@iitp.ac.in,8377094336,ANSWER,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,84.0 / 84.0,"(28.0 , 0.0 , 0)"
1,07-08-2021 12:18,ellen_booth4939@atink.com,33.0 / 84.0,Ellen Booth,ellen_booth9706@iitp.ac.in,7785862435,1401ME61,Option A,Option D,Option B,Option C,Option B,Option B,Option A,Option B,,Option C,Option C,Option B,Option B,Option B,Option B,Option D,Option C,Option D,Option C,Option B,Option D,Option B,Option B,Option C,Option B,Option A,Option A,Option B,17.0 / 84.0,"(11.0 , 16.0 , 1)"
2,07-08-2021 12:18,rachael_selby9175@acrit.org,60.0 / 84.0,Rachael Selby,rachael_selby7861@iitp.ac.in,9984503025,1401CS40,Option A,Option D,Option B,Option C,Option B,Option C,Option A,Option D,Option B,Option A,Option C,Option C,Option D,Option D,Option B,Option B,Option C,Option D,Option D,Option B,Option A,Option B,Option A,Option D,Option B,Option A,Option C,Option D,52.0 / 84.0,"(20.0 , 8.0 , 0)"
3,07-08-2021 12:19,rowan_knott5318@deons.tech,15.0 / 84.0,Rowan Knott,rowan_knott132@iitp.ac.in,9799319607,1401EE17,Option A,,Option C,,,Option D,Option D,,,,Option A,,Option C,,Option A,Option A,Option C,Option C,,Option C,Option B,Option A,Option B,Option B,,Option A,,Option A,3.0 / 84.0,"(5.0 , 12.0 , 11)"
4,07-08-2021 12:19,abdul_rowe197@muall.tech,24.0 / 84.0,Abdul Rowe,abdul_rowe997@iitp.ac.in,9131454766,1401ME10,Option D,Option D,Option B,Option D,Option B,Option B,Option D,,,Option A,Option B,,Option D,Option C,Option A,,,Option D,Option C,Option B,Option B,,Option B,,Option C,Option C,Option B,Option D,11.0 / 84.0,"(8.0 , 13.0 , 7)"
5,07-08-2021 12:19,henry_spencer7982@dionrab.com,27.0 / 84.0,Henry Spencer,henry_spencer2064@iitp.ac.in,7378293221,1401ME69,Option A,Option D,Option B,Option C,,Option D,Option D,Option C,,Option D,Option B,Option D,Option C,Option C,Option B,Option A,Option B,Option D,,,,Option B,,Option C,,Option A,Option B,Option D,15.0 / 84.0,"(9.0 , 12.0 , 7)"
6,07-08-2021 12:19,livia_ianson9590@famism.biz,60.0 / 84.0,Livia Ianson,livia_ianson3962@iitp.ac.in,9518769455,1401CS31,Option D,Option D,Option B,Option C,Option B,Option C,Option D,,Option A,Option A,Option C,Option A,Option D,Option D,Option D,Option C,Option C,Option D,Option B,Option B,Option A,Option B,Option A,Option D,Option B,Option C,Option C,Option D,53.0 / 84.0,"(20.0 , 7.0 , 1)"
7,07-08-2021 12:19,charlize_driscoll1025@corti.com,54.0 / 84.0,Charlize Driscoll,charlize_driscoll3045@iitp.ac.in,6304699592,1401CS15,Option A,,,Option C,,Option C,Option D,Option D,,,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,,,,Option A,Option A,Option D,Option B,Option A,Option C,Option B,52.0 / 84.0,"(18.0 , 2.0 , 8)"
8,07-08-2021 12:19,danielle_ellison9701@dionrab.com,21.0 / 84.0,Danielle Ellison,danielle_ellison1492@iitp.ac.in,8171611219,1401EE32,Option D,Option D,Option A,Option C,Option A,Option C,,,,Option B,Option A,Option A,,,,Option A,Option C,Option D,Option A,Option C,Option B,,Option A,,Option A,,,Option B,10.0 / 84.0,"(7.0 , 11.0 , 10)"
9,07-08-2021 12:19,chadwick_john5137@zorer.org,63.0 / 84.0,Chadwick John,chadwick_john1030@iitp.ac.in,8922824586,1401CE04,Option A,,Option B,Option C,,Option C,Option D,Option D,,Option A,Option C,Option A,Option D,,Option B,,Option C,Option D,Option B,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,Option B,62.0 / 84.0,"(21.0 , 1.0 , 6)"
10,07-08-2021 12:20,gil_carter2776@gompie.com,54.0 / 84.0,Gil Carter,gil_carter3805@iitp.ac.in,9321640810,1401CS68,Option D,Option D,Option B,Option C,Option B,Option B,Option A,,,Option A,Option C,Option A,Option D,Option D,Option B,Option C,Option C,Option D,Option B,,Option A,Option A,Option B,Option D,Option A,Option C,Option C,Option D,47.0 / 84.0,"(18.0 , 7.0 , 3)"
11,07-08-2021 12:20,daphne_speed306@vetan.org,78.0 / 84.0,Daphne Speed,daphne_speed3415@iitp.ac.in,9783460636,1401CE61,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option B,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option A,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,76.0 / 84.0,"(26.0 , 2.0 , 0)"
12,07-08-2021 12:20,caydence_camden1581@naiker.biz,12.0 / 84.0,Caydence Camden,caydence_camden8370@iitp.ac.in,9569921982,1401ME80,,,,,,,,,,,,,Option D,,Option B,,,,,,,,,Option D,,Option A,,,12.0 / 84.0,"(4.0 , 0.0 , 24)"
13,07-08-2021 12:20,elijah_sloan9903@famism.biz,27.0 / 84.0,Elijah Sloan,elijah_sloan1477@iitp.ac.in,9369060898,1401ME83,,Option D,,,Option D,,Option D,Option D,,,Option C,Option B,Option B,,,Option B,Option C,Option D,Option C,Option D,,Option B,,Option D,Option A,Option C,,Option D,19.0 / 84.0,"(9.0 , 8.0 , 11)"
14,07-08-2021 12:20,madison_parsons1820@twipet.com,36.0 / 84.0,Madison Parsons,madison_parsons5146@iitp.ac.in,7903619453,1401ME52,Option C,Option B,Option B,Option B,Option B,Option B,Option A,Option D,Option B,Option B,Option C,Option D,Option B,Option D,Option B,Option B,Option D,Option A,Option B,Option B,Option A,Option B,Option A,Option D,Option B,Option A,Option A,Option D,20.0 / 84.0,"(12.0 , 16.0 , 0)"
15,07-08-2021 12:20,gil_savage9073@bungar.biz,60.0 / 84.0,Gil Savage,gil_savage2177@iitp.ac.in,9809925873,1401EE58,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option B,Option D,Option D,Option D,,Option B,Option D,Option C,Option D,,Option D,,Option A,Option A,Option D,Option D,Option A,,Option D,57.0 / 84.0,"(20.0 , 3.0 , 5)"
16,07-08-2021 12:20,vicky_stubbs4593@typill.biz,15.0 / 84.0,Vicky Stubbs,vicky_stubbs5534@iitp.ac.in,8235880406,1401EE56,Option D,,,Option C,,,Option C,Option B,,,Option D,Option A,,,,,,Option D,,Option B,,Option B,Option A,Option D,,,,,9.0 / 84.0,"(5.0 , 6.0 , 17)"
17,07-08-2021 12:20,gemma_murray759@jiman.org,63.0 / 84.0,Gemma Murray,gemma_murray2055@iitp.ac.in,7497080070,1401ME07,Option A,Option D,Option B,Option C,,Option C,Option D,,Option A,Option A,Option C,Option A,Option B,Option D,Option B,Option D,Option C,,,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,,62.0 / 84.0,"(21.0 , 1.0 , 6)"
18,07-08-2021 12:20,mark_cann5224@liret.org,57.0 / 84.0,Mark Cann,mark_cann3732@iitp.ac.in,7828975562,1401CS63,,,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option B,,,Option D,Option C,Option D,,,Option A,Option A,Option A,Option D,Option D,Option A,Option A,,55.0 / 84.0,"(19.0 , 2.0 , 7)"
